algorithm,algorithmLabel
http://www.wikidata.org/entity/Q6521111,Leme panoramic camera
http://www.wikidata.org/entity/Q17020273,body worn video
http://www.wikidata.org/entity/Q19801786,RICOH THETA
http://www.wikidata.org/entity/Q20200768,"""Bantam Special"""
http://www.wikidata.org/entity/Q26690021,Pentax K-70
http://www.wikidata.org/entity/Q43485021,Bolex Rex-5
http://www.wikidata.org/entity/Q48839382,Europa Imaging System
http://www.wikidata.org/entity/Q48960228,drone
http://www.wikidata.org/entity/Q55190151,Escopette camera-CNAM 16484
http://www.wikidata.org/entity/Q55205616,Photo-revolver-CNAM 16477
http://www.wikidata.org/entity/Q55205985,Chronophotographic gun-CnAM 16955
http://www.wikidata.org/entity/Q55206669,Foca-CNAM 43090
http://www.wikidata.org/entity/Q55220291,Aiglon-CnAM 43095
http://www.wikidata.org/entity/Q55221197,Jumelle de Nicour-CNAM 16371
http://www.wikidata.org/entity/Q55362358,Beaulieu 2008S-CnAM 43134
http://www.wikidata.org/entity/Q55395179,Kodak Instamatic M2-CnAM 43574
http://www.wikidata.org/entity/Q55399415,Kodak Disc 4000-CnAM 43187
