computer,computerLabel
http://www.wikidata.org/entity/Q2539,machine learning
http://www.wikidata.org/entity/Q11660,artificial intelligence
http://www.wikidata.org/entity/Q30642,natural language processing
http://www.wikidata.org/entity/Q117801,computational science
http://www.wikidata.org/entity/Q150971,computer graphics
http://www.wikidata.org/entity/Q172491,data mining
http://www.wikidata.org/entity/Q176499,unconventional computing
http://www.wikidata.org/entity/Q180165,mechatronics
http://www.wikidata.org/entity/Q182557,computational linguistics
http://www.wikidata.org/entity/Q207434,human–computer interaction
http://www.wikidata.org/entity/Q365674,security engineering
http://www.wikidata.org/entity/Q538722,applied computer science
http://www.wikidata.org/entity/Q816826,information retrieval
http://www.wikidata.org/entity/Q874709,computational geometry
http://www.wikidata.org/entity/Q910164,cheminformatics
http://www.wikidata.org/entity/Q1196135,web engineering
http://www.wikidata.org/entity/Q1938404,social informatics
http://www.wikidata.org/entity/Q2122216,quantum information science
http://www.wikidata.org/entity/Q2374463,data science
http://www.wikidata.org/entity/Q2651693,logic in computer science
http://www.wikidata.org/entity/Q2878974,theoretical computer science
http://www.wikidata.org/entity/Q4677630,Activity recognition
http://www.wikidata.org/entity/Q5157299,computational sustainability
http://www.wikidata.org/entity/Q17008161,cognitive computing
http://www.wikidata.org/entity/Q56754593,ecological informatics
http://www.wikidata.org/entity/Q56883860,media informatics
